epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,2377.55,0.91927,0.53857,0.96265,0.83367,0.71543,0.78924,0.55893,1.27879,0.96587,1.06572,0.00141267,0.00141267,0.00141267
13,2559.06,0.8953,0.52187,0.95325,0.83298,0.73028,0.79227,0.56629,1.24153,0.94707,1.04032,0.00131593,0.00131593,0.00131593
14,2737.63,0.88249,0.50834,0.94894,0.87495,0.70961,0.80265,0.57429,1.22272,0.87683,1.04377,0.00121583,0.00121583,0.00121583
15,2915.4,0.87051,0.5023,0.94185,0.85572,0.70681,0.79954,0.57502,1.2463,1.00149,1.05352,0.00111348,0.00111348,0.00111348
16,3096.12,0.86275,0.49529,0.942,0.86144,0.72484,0.81245,0.58818,1.21416,0.9122,1.04348,0.00101,0.00101,0.00101
17,3282.08,0.84665,0.48087,0.93557,0.83829,0.7224,0.79694,0.5822,1.21975,0.95561,1.0469,0.000906517,0.000906517,0.000906517
18,3471.01,0.83344,0.47235,0.93184,0.84553,0.73467,0.81597,0.59506,1.21074,0.89937,1.04288,0.000804167,0.000804167,0.000804167
19,3645.9,0.82448,0.46225,0.92687,0.83591,0.72748,0.80624,0.58915,1.19108,0.93576,1.02852,0.000704073,0.000704073,0.000704073
20,3818.73,0.81775,0.46011,0.92578,0.85838,0.72165,0.80013,0.58272,1.21659,0.88716,1.03743,0.000607331,0.000607331,0.000607331
21,3988.71,0.79755,0.4496,0.92121,0.85234,0.7214,0.80459,0.59035,1.22184,0.91429,1.0443,0.000515,0.000515,0.000515
22,4161.34,0.79532,0.44107,0.9196,0.85471,0.73933,0.82193,0.60553,1.18708,0.88552,1.02976,0.000428093,0.000428093,0.000428093
23,4342.35,0.77987,0.43637,0.91367,0.88373,0.72947,0.81608,0.60343,1.19679,0.90441,1.03942,0.000347561,0.000347561,0.000347561
24,4554.09,0.77105,0.42831,0.91201,0.87683,0.7177,0.81537,0.60466,1.19778,0.91633,1.03983,0.000274287,0.000274287,0.000274287
25,4762.57,0.7655,0.42305,0.90997,0.89305,0.71491,0.81205,0.60496,1.18046,0.92449,1.0342,0.000209073,0.000209073,0.000209073
26,4940.66,0.70071,0.36496,0.88347,0.87655,0.71667,0.80981,0.60595,1.17266,0.94146,1.03051,0.000152635,0.000152635,0.000152635
27,5096.74,0.68983,0.35772,0.87855,0.87671,0.71903,0.80553,0.60623,1.17512,0.9733,1.03409,0.00010559,0.00010559,0.00010559
28,5250.22,0.68137,0.35452,0.87934,0.89121,0.71499,0.80622,0.60569,1.16721,0.9553,1.03134,6.8454e-05,6.8454e-05,6.8454e-05
29,5403.59,0.67849,0.35165,0.8768,0.87357,0.72263,0.80628,0.6065,1.17165,0.96377,1.03266,4.16339e-05,4.16339e-05,4.16339e-05
30,5557.87,0.67287,0.34956,0.8765,0.8827,0.71614,0.80593,0.60692,1.16983,0.9653,1.0322,2.54233e-05,2.54233e-05,2.54233e-05
1,284.19,1.82417,1.71793,1.40204,0.64677,0.18494,0.28241,0.13894,2.12592,2.73356,1.45564,0.0677222,0.00065873,0.00065873
2,464.519,1.38236,0.98398,1.15422,0.51312,0.21321,0.28331,0.1749,1.86569,2.30644,1.32173,0.035052,0.0013218,0.0013218
