Metric,Domain,YOLO-ER,YOLO-GDUMB,YOLO-NAIVE
ACC_final,,0.7567559303140015,0.7361698303138956,0.2905392950597787
ACC_mean_over_time,,0.787770202542001,0.5603690152336793,0.47325022101519676
BWT_mean,,-0.1376813970653644,0.1894365589781821,-0.6251651836961325
Forgetting_mean,,0.1376813970653644,-0.0006464942492278766,0.6251651836961325
BWT_per_domain,sunny,-0.1627510549279798,0.5629568632068817,-0.6763201848589645
BWT_per_domain,overcast,-0.12369989894945765,0.0017283844830954243,-0.6156205207403815
BWT_per_domain,night,-0.12659323731865568,0.003624429244569183,-0.5835548454890513
BWT_per_domain,snowy,,,
Forgetting_per_domain,sunny,0.1627510549279798,0.0012854680610383529,0.6763201848589645
Forgetting_per_domain,overcast,0.12369989894945765,0.00039947843584720033,0.6156205207403815
Forgetting_per_domain,night,0.12659323731865568,-0.003624429244569183,0.5835548454890513
Forgetting_per_domain,snowy,,,
