epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,3242.76,0.95544,0.56157,0.95832,0.92305,0.89851,0.95072,0.71636,0.95209,0.54258,0.93726,0.00141267,0.00141267,0.00141267
13,3506.5,0.93447,0.54284,0.95449,0.93787,0.90523,0.95631,0.72616,0.92937,0.51313,0.93237,0.00131593,0.00131593,0.00131593
14,3770.22,0.91705,0.52962,0.94864,0.92364,0.91228,0.95829,0.73326,0.90367,0.49399,0.92619,0.00121583,0.00121583,0.00121583
15,4034.07,0.90847,0.52178,0.94614,0.93352,0.9159,0.9613,0.74441,0.90176,0.4843,0.92008,0.00111348,0.00111348,0.00111348
16,4298.17,0.89485,0.51112,0.94003,0.93248,0.91774,0.96381,0.74227,0.90481,0.48411,0.91944,0.00101,0.00101,0.00101
17,4561.6,0.87461,0.4984,0.9338,0.94297,0.91448,0.9622,0.74571,0.87877,0.47083,0.91383,0.000906517,0.000906517,0.000906517
18,4825.12,0.86217,0.48699,0.93252,0.94071,0.92075,0.96711,0.7588,0.86762,0.46181,0.9087,0.000804167,0.000804167,0.000804167
19,5087.26,0.84777,0.47566,0.92634,0.94758,0.92558,0.96748,0.76399,0.84857,0.44976,0.90428,0.000704073,0.000704073,0.000704073
20,5351.56,0.84011,0.47151,0.92396,0.94385,0.92227,0.96665,0.76254,0.85654,0.45514,0.90567,0.000607331,0.000607331,0.000607331
21,5614.78,0.82722,0.46098,0.91888,0.94597,0.92926,0.96858,0.76832,0.84148,0.44404,0.90172,0.000515,0.000515,0.000515
22,5878.32,0.81978,0.45648,0.91676,0.94574,0.93277,0.96903,0.77307,0.82162,0.43546,0.89801,0.000428093,0.000428093,0.000428093
23,6141.55,0.80474,0.44754,0.914,0.95196,0.9304,0.96866,0.77355,0.81853,0.43071,0.89616,0.000347561,0.000347561,0.000347561
24,6404.14,0.79761,0.44164,0.91104,0.9551,0.93269,0.97144,0.78224,0.80509,0.42087,0.89317,0.000274287,0.000274287,0.000274287
25,6668.13,0.78766,0.43448,0.90918,0.95035,0.93494,0.97122,0.78294,0.80248,0.4191,0.89256,0.000209073,0.000209073,0.000209073
26,6909.38,0.72411,0.37559,0.88124,0.94837,0.9361,0.97081,0.78408,0.797,0.41534,0.89007,0.000152635,0.000152635,0.000152635
27,7149.62,0.70605,0.36726,0.87755,0.95067,0.93706,0.97185,0.78922,0.78471,0.4071,0.88769,0.00010559,0.00010559,0.00010559
28,7390.61,0.70474,0.36516,0.87663,0.95481,0.93551,0.97189,0.79044,0.78128,0.40558,0.88656,6.8454e-05,6.8454e-05,6.8454e-05
29,7631.78,0.69592,0.36177,0.8729,0.95287,0.93757,0.97171,0.78993,0.78233,0.40677,0.88631,4.16339e-05,4.16339e-05,4.16339e-05
30,7872.84,0.6942,0.35927,0.87254,0.95346,0.93554,0.97183,0.79203,0.77826,0.40503,0.8855,2.54233e-05,2.54233e-05,2.54233e-05
1,338.756,1.56994,1.33115,1.24806,0.84502,0.79191,0.86181,0.5986,1.29068,0.83587,1.06389,0.0675926,0.000661376,0.000661376
2,596.024,1.30651,0.87452,1.10056,0.83849,0.80567,0.87849,0.59405,1.28422,0.89104,1.05045,0.0349223,0.00132444,0.00132444
3,851.98,1.28243,0.85332,1.09544,0.76215,0.78311,0.80776,0.53705,1.29807,0.8516,1.07108,0.00223768,0.00197313,0.00197313
4,1110.52,1.2675,0.84682,1.0875,0.8724,0.81287,0.8859,0.59933,1.28526,0.75593,1.05368,0.00195155,0.00195155,0.00195155
5,1366.97,1.2293,0.80641,1.07343,0.89471,0.81734,0.90615,0.61668,1.22567,0.74211,1.0388,0.00191441,0.00191441,0.00191441
6,1622.04,1.19332,0.7705,1.05336,0.83847,0.82666,0.88035,0.60624,1.24716,0.75832,1.03855,0.00186737,0.00186737,0.00186737
7,1878.97,1.15849,0.73401,1.03985,0.88257,0.83186,0.90707,0.64177,1.17526,0.68831,1.01278,0.00181093,0.00181093,0.00181093
8,2134.6,1.14507,0.71385,1.0381,0.89927,0.86224,0.92138,0.66245,1.14581,0.65936,1.00879,0.00174571,0.00174571,0.00174571
9,2389.46,1.12313,0.68913,1.02813,0.89971,0.8383,0.91611,0.65479,1.14044,0.65956,1.00963,0.00167244,0.00167244,0.00167244
10,2645.11,1.10159,0.67763,1.01834,0.92194,0.8756,0.93524,0.67579,1.13543,0.62679,0.99598,0.00159191,0.00159191,0.00159191
11,2899.05,1.0713,0.64715,1.00587,0.89515,0.86211,0.92693,0.67078,1.11265,0.6337,0.99471,0.001505,0.001505,0.001505
12,3154.14,1.04707,0.62898,0.998,0.89661,0.87837,0.92905,0.6831,1.07482,0.6162,0.97913,0.00141267,0.00141267,0.00141267
13,3409.89,1.03638,0.62163,0.99095,0.91428,0.87522,0.93819,0.69143,1.04824,0.58158,0.97145,0.00131593,0.00131593,0.00131593
14,3664.27,1.02252,0.60739,0.9881,0.91962,0.88743,0.94257,0.69557,1.05964,0.56502,0.97181,0.00121583,0.00121583,0.00121583
15,3919.96,0.99165,0.58261,0.97781,0.92852,0.88502,0.94603,0.70387,1.04477,0.55811,0.96671,0.00111348,0.00111348,0.00111348
16,4175.43,0.98304,0.5832,0.97426,0.89258,0.90206,0.94786,0.70636,1.03694,0.55044,0.96032,0.00101,0.00101,0.00101
17,4430.63,0.95758,0.55653,0.96445,0.92811,0.888,0.94874,0.71776,1.00927,0.53156,0.95007,0.000906517,0.000906517,0.000906517
18,4685.67,0.9457,0.5437,0.96116,0.935,0.89618,0.95533,0.72281,0.99057,0.52407,0.94699,0.000804167,0.000804167,0.000804167
19,4940.78,0.92565,0.53756,0.95423,0.92816,0.90417,0.95709,0.73092,0.97245,0.51596,0.94277,0.000704073,0.000704073,0.000704073
20,5195.3,0.91513,0.52272,0.94993,0.94191,0.90375,0.95826,0.73929,0.96667,0.50453,0.94104,0.000607331,0.000607331,0.000607331
21,5450.96,0.89889,0.51576,0.94636,0.93894,0.90891,0.95909,0.73964,0.94835,0.50247,0.93548,0.000515,0.000515,0.000515
22,5706.24,0.88006,0.50235,0.94168,0.92055,0.92158,0.96109,0.7494,0.93157,0.48968,0.92958,0.000428093,0.000428093,0.000428093
23,5961.51,0.87529,0.49997,0.93708,0.93013,0.91698,0.96225,0.75121,0.92444,0.4756,0.92728,0.000347561,0.000347561,0.000347561
24,6217.99,0.86585,0.49267,0.93558,0.95015,0.90894,0.96333,0.75593,0.91811,0.47548,0.92627,0.000274287,0.000274287,0.000274287
25,6472.91,0.85268,0.48327,0.93314,0.94022,0.91492,0.96427,0.75612,0.90897,0.46829,0.92423,0.000209073,0.000209073,0.000209073
26,6707.91,0.76111,0.39807,0.89757,0.94716,0.91119,0.96463,0.75767,0.90918,0.46741,0.92271,0.000152635,0.000152635,0.000152635
27,6941.43,0.7435,0.38976,0.89043,0.94282,0.91692,0.96788,0.76109,0.89636,0.46109,0.91941,0.00010559,0.00010559,0.00010559
28,7175.64,0.73317,0.3841,0.88588,0.93919,0.92933,0.96758,0.76506,0.89203,0.45959,0.91872,6.8454e-05,6.8454e-05,6.8454e-05
29,7409.76,0.72675,0.37927,0.88616,0.94208,0.92749,0.96761,0.76559,0.88934,0.45706,0.91842,4.16339e-05,4.16339e-05,4.16339e-05
30,7644.19,0.72592,0.3778,0.88515,0.94127,0.92786,0.96747,0.76471,0.88844,0.45758,0.91789,2.54233e-05,2.54233e-05,2.54233e-05
1,228.852,1.20235,1.12639,1.17303,0.43149,0.54887,0.56093,0.36623,1.58961,2.77257,1.29315,0.0677934,0.000657277,0.000657277
2,383.437,0.85195,0.59056,0.97878,0.83857,0.7563,0.83766,0.5846,1.20791,0.81189,1.05143,0.0351232,0.00132035,0.00132035
3,536.275,0.83631,0.58958,0.96954,0.84604,0.73996,0.82962,0.58167,1.2387,0.85174,1.06361,0.00243856,0.00196908,0.00196908
4,690.076,0.83536,0.58886,0.9715,0.82132,0.76157,0.84187,0.59313,1.20114,0.80197,1.06621,0.00195155,0.00195155,0.00195155
5,843.545,0.80521,0.5652,0.96225,0.83943,0.78642,0.85854,0.60619,1.20284,0.75068,1.04474,0.00191441,0.00191441,0.00191441
6,997.114,0.77457,0.5332,0.95033,0.87343,0.77821,0.8637,0.61944,1.18802,0.76839,1.0373,0.00186737,0.00186737,0.00186737
7,1149.73,0.76052,0.52131,0.94137,0.88389,0.80764,0.88827,0.6266,1.1776,0.6963,1.03117,0.00181093,0.00181093,0.00181093
8,1303.7,0.74749,0.51068,0.94041,0.89509,0.80957,0.89522,0.6448,1.12134,0.67583,1.01802,0.00174571,0.00174571,0.00174571
